"codice isil";"denominazione biblioteca";"tipologia funzionale";"denominazione ente";"tipologia amministrativa"
"IT-BZ0319";"Biblioteca dell’Istituto Comprensivo Bolzano 1 Centro Storico";"Scolastica";"Istituto Comprensivo Bolzano1 Centro Storico";"Provincia"
"IT-BZ0320";"Biblioteca dell'Istituto Comprensivo Bolzano Europa 2";"Scolastica";"Istituto Comprensivo Bolzano Europa 2";"Provincia"
"IT-BZ0321";"Biblioteca scolastica del Liceo Scienze Umane, Artistico e Musicale “Giovanni Pascoli”";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca. Liceo Scienze Umane, Artistico e Musicale “Giovanni Pascoli”";"Presidenza del consiglio dei ministri e ministeri"
"IT-BZ0322";"Biblioteca scolastica dell’Istututo tecnico tecnologico Max Valier Bolzano";"Scolastica";"Istituto tecnico tecnologico in lingua tedesca Max Valier";"Provincia"
"IT-BZ0323";"Biblioteca dell'Istituto Tecnico Agrario di Ora";"Scolastica";"Istituto Tecnico Agrario di Ora";"Provincia"
"IT-BZ0324";"Oberschulzentrum Sterzing";"Scolastica";"Centro liceale Vipiteno";"Aziende ed amministrazioni dello stato ad ordinamento autonomo"
"IT-BZ0325";"Biblioteca dell'Istituto Comprensivo Selva";"Scolastica";"Istituto Comprensivo Selva";"Provincia"
"IT-BZ0326";"Biblioteca scolastica dell'Istituto Comprensivo Ortisei";"Scolastica";"Istituto Comprensivo Ortisei";"Provincia"
"IT-BZ0327";"Biblioteca Sas dla Crusc – sezione distaccata di Colfosco";"Pubblica";"Comune di Badia";"Comune"
"IT-BZ0328";"Biblioteca specialistica dell’Archivio provinciale di Bolzano";"Specializzata";"Archivio provinciale di Bolzano";"Provincia"
"IT-BZ0330";"Biblioteca del Museum Ladin Ciastel de Tor";"Di conservazione";"Museum Ladin Ciastel de Tor – Azienda Musei Provinciali";"Provincia"
"IT-CA0002";"Biblioteca comunale";"Pubblica";"Comune di Arbus";"Comune"
"IT-CA0004";"Biblioteca comunale Emilio Lussu";"Pubblica";"Comune di Armungia";"Comune"
"IT-CA0005";"Biblioteca comunale G. Mastino del Rio";"Pubblica";"Comune di Ballao";"Comune"
"IT-CA0006";"Biblioteca comunale A. Segni";"Pubblica";"Comune di Barumini";"Comune"
"IT-CA0008";"Biblioteca comunale";"Pubblica";"Comune di Buggerru";"Comune"
"IT-CA0009";"Biblioteca dell'Unione Italiana dei Ciechi e degli Ipovedenti Onlus Aps Sezione Territoriale di Cagliari";"Specializzata";"Unione italiana ciechi. Sezione provinciale di Cagliari";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-CA0010";"Biblioteca comunale Generale e di Studi Sardi (presso la MEM)";"Pubblica";"Comune di Cagliari";"Comune"
"IT-CA0011";"Biblioteca del Distretto tecnologico - Sezione ingegneria - Università degli studi di Cagliari";"Istituto di insegnamento superiore";"Università degli studi di Cagliari";"Universita' statali"
"IT-CA0014";"Biblioteca San Tommaso d'Aquino del Convento P.P. Domenicani";"Specializzata";"Domenicani. Convento San Domenico";"Enti ecclesiastici"
"IT-CA0015";"Biblioteca provinciale dei frati minori cappuccini di Sardegna";"Specializzata";"Frati minori cappuccini. Curia provincializia di Cagliari";"Enti ecclesiastici"
"IT-CA0017";"Biblioteca dell'Archivio di Stato di Cagliari";"Specializzata";"Ministero della Cultura. Archivio di Stato di Cagliari";"Direzione Generale Archivi"
"IT-CA0018";"Biblioteca del Seminario Arcivescovile di Cagliari Santa Cecilia";"Di conservazione";"Seminario arcivescovile di Cagliari";"Enti ecclesiastici"
"IT-CA0022";"Biblioteca del Consiglio regionale della Sardegna";"Specializzata";"Regione autonoma della Sardegna. Consiglio regionale della Sardegna";"Regione"
"IT-CA0023";"Biblioteca del Conservatorio di musica Giovanni Pierluigi da Palestrina";"Specializzata";"Ministero dell'istruzione, dell'università e della ricerca. Conservatorio dimusica Giovanni Pierluigi da Palestrina";"Presidenza del consiglio dei ministri e ministeri"
"IT-CA0028";"Biblioteca militare di presidio del Comando Militare Esercito Sardegna";"Di conservazione";"Ministero della difesa. Comando militare autonoma della Sardegna reparto comando";"Presidenza del consiglio dei ministri e ministeri"
"IT-CA0030";"Biblioteca specialistica Arte Architettura e Restauro della Soprintendenza Archeologia, Belle Arti e Paesaggio per la Città Metropolitana di Cagliari e le Province di Oristano e Sud Sardegna";"Specializzata";"Ministero della Cultura. Soprintendenza Archeologia, belle arti e paesaggio per la città metropolitana di Cagliari e le province di Oristano, Medio Campidano, Carbonia-Iglesias e Ogliastra";"Direzione generale archeologia, belle arti e paesaggio"
"IT-CA0031";"Biblioteca della Soprintendenza archivistica della Sardegna";"Specializzata";"Ministero della Cultura. Soprintendenza archivistica per la Sardegna";"Direzione Generale Archivi"
"IT-CA0032";"Biblioteca della Pontificia Facoltà teologica della Sardegna";"Istituto di insegnamento superiore";"Pontificia Facoltà teologica della Sardegna";"Enti ecclesiastici"
"IT-CA0033";"Biblioteca del Distretto delle scienze umane - Sezione Dante Alighieri - Università degli studi di Cagliari";"Istituto di insegnamento superiore";"Università degli studi di Cagliari";"Universita' statali"
"IT-CA0034";"Biblioteca del Distretto delle scienze sociali, economiche e giuridiche - Sezione scienze economiche - Università degli studi di di Cagliari";"Istituto di insegnamento superiore";"Università degli studi di Cagliari. Facoltà di economia";"Universita' statali"
"IT-CA0035";"Biblioteca del Distretto delle scienze sociali, economiche e giuridiche - Sezione scienze giuridiche - Università degli studi di Cagliari";"Istituto di insegnamento superiore";"Università degli studi di Cagliari. Facoltà di giurisprudenza";"Universita' statali"
"IT-CA0039";"Biblioteca della Deputazione di storia patria per la Sardegna";"Di conservazione";"Ministero per i beni e le attività culturali. Giunta centrale studi storici";"Accademie, associazioni, fondazioni, istituti (pubblici)"
